net,length_um
_0968_,23.52µm
_0624_,23.11µm
_0224_,23.06µm
_0595_,23.06µm
u_cas_diff.u_diff2.in_min1\[24\],23.06µm
_0543_,23.01µm
_0612_,23.01µm
_0781_,23.01µm
_0852_,23.01µm
u_cas_diff.u_diff3.in_min1\[14\],23.01µm
u_cas_diff.u_diff3.in_min1\[16\],23.01µm
_0726_,22.96µm
_0947_,22.96µm
u_cas_diff.u_diff3.in_min1\[21\],22.55µm
_0435_,22.5µm
_0155_,22.45µm
_0182_,22.45µm
_0486_,22.45µm
_0815_,22.45µm
_0832_,22.45µm
_0859_,22.45µm
_0152_,22.4µm
_0201_,21.94µm
_0899_,21.94µm
_0245_,21.89µm
_0363_,21.89µm
_0370_,21.89µm
_0827_,21.89µm
_0869_,21.89µm
_0877_,21.89µm
_1034_,21.89µm
_0907_,21.84µm
_0952_,21.84µm
_0664_,21.48µm
_0349_,21.43µm
_0633_,21.43µm
_0746_,21.38µm
_0982_,21.38µm
_0960_,21.33µm
u_cas_diff.out_diff2\[20\],21.33µm
u_cas_diff.u_diff1.in_min1\[13\],21.33µm
u_cas_diff.u_diff3.in_min1\[3\],21.28µm
_0292_,20.87µm
_0439_,20.87µm
_0820_,20.87µm
_0954_,20.87µm
u_cas_diff.u_diff3.in_min1\[23\],20.87µm
_0582_,20.82µm
_0792_,20.77µm
_0178_,20.72µm
_0371_,20.72µm
u_cas_diff.u_diff1.in_min1\[22\],20.31µm
_0334_,20.26µm
_0026_,20.21µm
_0204_,20.21µm
_0602_,20.21µm
_0839_,20.21µm
_0950_,20.21µm
_1005_,20.21µm
net4,20.21µm
_0298_,20.16µm
_0515_,20.16µm
_0686_,20.16µm
u_cas_diff.u_diff3.in_min1\[5\],20.16µm
u_cas_diff.u_diff1.in_min1\[2\],19.75µm
_0738_,19.7µm
_0146_,19.65µm
_0386_,19.65µm
_0691_,19.65µm
_0813_,19.65µm
_0863_,19.65µm
_0260_,19.6µm
_0977_,19.6µm
_0995_,19.6µm
_1011_,19.6µm
u_cas_diff.u_diff1.in_min1\[10\],19.6µm
_0618_,19.19µm
_0767_,19.14µm
_0184_,19.09µm
_0283_,19.09µm
_0402_,19.09µm
_0497_,19.09µm
_0498_,19.09µm
_0666_,19.09µm
_0692_,19.09µm
_0749_,19.09µm
_0885_,19.09µm
_0214_,19.04µm
_0366_,19.04µm
_0147_,18.58µm
_0684_,18.58µm
_0874_,18.58µm
u_cas_diff.u_diff2.in_min1\[22\],18.58µm
_0035_,18.53µm
_0170_,18.53µm
_0185_,18.53µm
_0272_,18.53µm
_0313_,18.53µm
_0446_,18.53µm
_0485_,18.53µm
_0750_,18.53µm
_0891_,18.53µm
_0422_,18.48µm
_1012_,18.48µm
_0845_,18.2µm
_0821_,18.02µm
_0889_,18.02µm
_0503_,17.97µm
_0719_,17.97µm
_0470_,17.92µm
_0731_,17.92µm
_0913_,17.92µm
_0504_,17.64µm
_0455_,17.46µm
_0490_,17.46µm
_0765_,17.46µm
_0873_,17.46µm
_0043_,17.41µm
_0093_,17.41µm
_0096_,17.41µm
_0191_,17.41µm
_0728_,17.41µm
_1027_,17.41µm
_0967_,17.36µm
u_cas_diff.u_diff1.in_min1\[11\],17.36µm
u_cas_diff.u_diff3.in_min1\[15\],17.36µm
u_cas_diff.u_diff3.in_min1\[19\],17µm
out_cic[9],16.98µm
u_cas_diff.u_diff1.in_min1\[5\],16.95µm
_0183_,16.9µm
u_cas_diff.u_diff1.in_min1\[6\],16.9µm
_0006_,16.85µm
_0244_,16.85µm
_0452_,16.85µm
_0517_,16.85µm
_0720_,16.85µm
_0878_,16.85µm
net5,16.85µm
_0510_,16.8µm
_1018_,16.8µm
_0019_,16.34µm
_0324_,16.34µm
_0523_,16.34µm
u_cas_diff.u_diff1.in_min1\[9\],16.34µm
_0033_,16.29µm
_0061_,16.29µm
_0088_,16.29µm
_0135_,16.29µm
_0467_,16.29µm
_0640_,16.29µm
_0281_,16.24µm
_0285_,16.24µm
_0451_,16.24µm
rst,15.86µm
out_cic[11],15.86µm
_0648_,15.78µm
_0835_,15.78µm
_0046_,15.73µm
_0139_,15.73µm
_0233_,15.73µm
_0328_,15.73µm
_0956_,15.73µm
_0254_,15.68µm
_0520_,15.68µm
_0669_,15.68µm
_1017_,15.68µm
_0708_,15.45µm
out_cic[5],15.3µm
out_cic[7],15.3µm
_0656_,15.27µm
u_cas_diff.u_diff2.in_min1\[19\],15.27µm
_0764_,15.22µm
_0942_,15.22µm
_1002_,15.22µm
u_cas_diff.out_diff1\[20\],15.22µm
u_cas_diff.u_diff2.in_min1\[18\],15.22µm
_0024_,15.17µm
_0044_,15.17µm
_0103_,15.17µm
_0209_,15.17µm
_0263_,15.17µm
_0389_,15.17µm
_0597_,15.17µm
_0675_,15.17µm
_0318_,15.12µm
_0866_,15.12µm
_0707_,14.84µm
_0528_,14.71µm
_0541_,14.71µm
u_cas_diff.u_diff1.in_min1\[15\],14.66µm
_0005_,14.61µm
_0008_,14.61µm
_0031_,14.61µm
_0129_,14.61µm
_0560_,14.61µm
